"Name","Id","CPU","WorkingSet","Path"
"taskhostw","5224","0.015625","9076736","C:\Windows\system32\taskhostw.exe"
"svchost","4484","0","11182080","C:\Windows\system32\svchost.exe"
"svchost","3868",,"13418496",
"svchost","2744",,"13676544",
"svchost","3876",,"6537216",
"svchost","4100",,"8855552",
"svchost","4140",,"6115328",
"svchost","4148",,"9736192",
"svchost","2648",,"16494592",
"svchost","3884",,"41148416",
"svchost","3900",,"42659840",
"svchost","2988",,"10604544",
"svchost","3184",,"16691200",
"svchost","2844",,"9588736",
"svchost","2852",,"10076160",
"svchost","2928",,"17682432",
"svchost","2968",,"7495680",
"svchost","3200",,"16363520",
"svchost","3596",,"6320128",
"svchost","3604",,"7507968",
"svchost","2836",,"8986624",
"svchost","3244",,"12271616",
"svchost","3324",,"10735616",
"svchost","3520",,"13406208",
"svchost","4156",,"5480448",
"svchost","6572",,"15532032",
"System","4",,"143360",
"svchost","6280",,"10076160",
"wininit","588",,"6385664",
"valWBFPolicyService","4120",,"7798784",
"svchost","11468",,"9613312",
"svchost","8876",,"19308544",
"svchost","7632",,"22892544",
"svchost","9200",,"8826880",
"svchost","10524",,"7761920",
"svchost","10424",,"7397376",
"svchost","4572",,"8589312",
"svchost","4596",,"7032832",
"svchost","4388",,"8654848",
"svchost","4176",,"20967424",
"svchost","4252",,"5255168",
"svchost","5064",,"13217792",
"WUDFHost","800",,"11423744",
"winlogon","696",,"10510336",
"svchost","6148",,"7573504",
"svchost","5276",,"8077312",
"svchost","6092",,"15224832",
"svchost","2556",,"11845632",
"AggregatorHost","5808",,"8302592",
"Registry","100",,"32837632",
"RMService","3972",,"7528448",
"NisSrv","8540",,"11153408",
"Memory Compression","1832",,"203620352",
"MpDefenderCoreService","3484",,"18948096",
"MsMpEng","4164",,"281559040",
"spoolsv","3380",,"13320192",
"sppsvc","12796",,"13496320",
"svchost","72",,"11730944",
"smss","356",,"1081344",
"SearchIndexer","5284",,"50843648",
"SecurityHealthService","4448",,"15577088",
"services","740",,"10588160",
"DSDFunctionKeyCtlService","3916",,"6000640",
"dwm","1252",,"148242432",
"dynabookSystemService","4004",,"10031104",
"dllhost","5688",,"10526720",
"csrss","496",,"5439488",
"csrss","596",,"6516736",
"dasHost","4628",,"4587520",
"Idle","0",,"8192",
"igfxCUIService","1964",,"9052160",
"lsass","748",,"19296256",
"GensparkCrashHandler64","9480",,"1044480",
"fontdrvhost","896",,"4608000",
