"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025092920250930\container.dat","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025092920250930","container.dat","C","Microsoft.PowerShell.Core\FileSystem","False","-a-hs-","container","System.Collections.Generic.List`1[System.String]",,"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025092920250930\container.dat",,"True",,".dat","2025-09-29 12:59:15 AM","2025-09-29 4:59:15 AM","2025-09-29 12:59:15 AM","2025-09-29 4:59:15 AM","2025-09-29 12:59:15 AM","2025-09-29 4:59:15 AM","Hidden, System, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025100220251003\container.dat","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025100220251003","container.dat","C","Microsoft.PowerShell.Core\FileSystem","False","-a-hs-","container","System.Collections.Generic.List`1[System.String]",,"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025100220251003\container.dat",,"True",,".dat","2025-10-02 9:08:09 PM","2025-10-03 1:08:09 AM","2025-10-02 9:08:09 PM","2025-10-03 1:08:09 AM","2025-10-02 9:08:09 PM","2025-10-03 1:08:09 AM","Hidden, System, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025100320251004\container.dat","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025100320251004","container.dat","C","Microsoft.PowerShell.Core\FileSystem","False","-a-hs-","container","System.Collections.Generic.List`1[System.String]",,"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025100320251004\container.dat",,"True",,".dat","2025-10-03 5:32:44 AM","2025-10-03 9:32:44 AM","2025-10-03 5:32:44 AM","2025-10-03 9:32:44 AM","2025-10-03 5:32:44 AM","2025-10-03 9:32:44 AM","Hidden, System, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\Low\History.IE5","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\Low","History.IE5","C","Microsoft.PowerShell.Core\FileSystem","True","d--hs-","History.IE5","System.Collections.Generic.List`1[System.String]",,"History.IE5","C:\Users\User\AppData\Local\Microsoft\Windows\History\Low\History.IE5","Low","True","C:\",".IE5","2025-08-24 6:10:16 PM","2025-08-24 10:10:16 PM","2025-10-03 5:44:42 AM","2025-10-03 9:44:42 AM","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","Hidden, System, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\Low\History.IE5\container.dat","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\History\Low\History.IE5","container.dat","C","Microsoft.PowerShell.Core\FileSystem","False","-a-hs-","container","System.Collections.Generic.List`1[System.String]",,"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\Low\History.IE5\container.dat",,"True",,".dat","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","Hidden, System, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache\Low","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache","Low","C","Microsoft.PowerShell.Core\FileSystem","True","d--h--","Low","System.Collections.Generic.List`1[System.String]",,"Low","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache\Low","IECompatCache","True","C:\","","2025-08-25 12:24:12 AM","2025-08-25 4:24:12 AM","2025-10-03 5:44:42 AM","2025-10-03 9:44:42 AM","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","Hidden, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache\container.dat","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache","container.dat","C","Microsoft.PowerShell.Core\FileSystem","False","-a-hs-","container","System.Collections.Generic.List`1[System.String]",,"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache\container.dat",,"True",,".dat","2025-09-18 11:39:09 PM","2025-09-19 3:39:09 AM","2025-09-18 11:39:09 PM","2025-09-19 3:39:09 AM","2025-09-18 11:39:09 PM","2025-09-19 3:39:09 AM","Hidden, System, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache\Low\container.dat","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache\Low","container.dat","C","Microsoft.PowerShell.Core\FileSystem","False","-a-hs-","container","System.Collections.Generic.List`1[System.String]",,"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache\Low\container.dat",,"True",,".dat","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","Hidden, System, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache\Low","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache","Low","C","Microsoft.PowerShell.Core\FileSystem","True","d--h--","Low","System.Collections.Generic.List`1[System.String]",,"Low","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache\Low","IECompatUaCache","True","C:\","","2025-08-25 12:24:12 AM","2025-08-25 4:24:12 AM","2025-10-03 5:44:42 AM","2025-10-03 9:44:42 AM","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","Hidden, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache\container.dat","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache","container.dat","C","Microsoft.PowerShell.Core\FileSystem","False","-a-hs-","container","System.Collections.Generic.List`1[System.String]",,"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache\container.dat",,"True",,".dat","2025-09-18 11:39:09 PM","2025-09-19 3:39:09 AM","2025-09-18 11:39:09 PM","2025-09-19 3:39:09 AM","2025-09-18 11:39:09 PM","2025-09-19 3:39:09 AM","Hidden, System, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache\Low\container.dat","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache\Low","container.dat","C","Microsoft.PowerShell.Core\FileSystem","False","-a-hs-","container","System.Collections.Generic.List`1[System.String]",,"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache\Low\container.dat",,"True",,".dat","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","2025-09-22 7:37:13 PM","2025-09-22 11:37:13 PM","Hidden, System, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IEDownloadHistory\container.dat","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\IEDownloadHistory","container.dat","C","Microsoft.PowerShell.Core\FileSystem","False","-a-hs-","container","System.Collections.Generic.List`1[System.String]",,"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IEDownloadHistory\container.dat",,"True",,".dat","2025-09-22 7:32:51 PM","2025-09-22 11:32:51 PM","2025-09-22 7:32:51 PM","2025-09-22 11:32:51 PM","2025-09-22 7:32:51 PM","2025-09-22 11:32:51 PM","Hidden, System, Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\Content.IE5","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache","Content.IE5","C","Microsoft.PowerShell.Core\FileSystem","True","d--hsl","Content.IE5",,,"Content.IE5","C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\Content.IE5","INetCache","True","C:\",".IE5","2025-10-03 5:32:44 AM","2025-10-03 9:32:44 AM","2025-10-03 5:32:44 AM","2025-10-03 9:32:44 AM","2025-10-03 5:32:44 AM","2025-10-03 9:32:44 AM","Hidden, System, Directory, ReparsePoint, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache","IE","C","Microsoft.PowerShell.Core\FileSystem","True","d--hs-","IE","System.Collections.Generic.List`1[System.String]",,"IE","C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE","INetCache","True","C:\","","2025-09-27 8:31:59 PM","2025-09-28 12:31:59 AM","2025-10-03 5:28:20 AM","2025-10-03 9:28:20 AM","2025-10-03 5:28:20 AM","2025-10-03 9:28:20 AM","Hidden, System, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE\HL02TYPK","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE","HL02TYPK","C","Microsoft.PowerShell.Core\FileSystem","True","d--hs-","HL02TYPK","System.Collections.Generic.List`1[System.String]",,"HL02TYPK","C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE\HL02TYPK","IE","True","C:\","","2025-10-03 5:28:20 AM","2025-10-03 9:28:20 AM","2025-10-03 5:50:28 AM","2025-10-03 9:50:28 AM","2025-10-03 5:50:28 AM","2025-10-03 9:50:28 AM","Hidden, System, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE\I1WE3WYM","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE","I1WE3WYM","C","Microsoft.PowerShell.Core\FileSystem","True","d--hs-","I1WE3WYM","System.Collections.Generic.List`1[System.String]",,"I1WE3WYM","C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE\I1WE3WYM","IE","True","C:\","","2025-10-03 5:28:20 AM","2025-10-03 9:28:20 AM","2025-10-03 5:50:29 AM","2025-10-03 9:50:29 AM","2025-10-03 5:50:29 AM","2025-10-03 9:50:29 AM","Hidden, System, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE\VCIOMGEL","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE","VCIOMGEL","C","Microsoft.PowerShell.Core\FileSystem","True","d--hs-","VCIOMGEL","System.Collections.Generic.List`1[System.String]",,"VCIOMGEL","C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE\VCIOMGEL","IE","True","C:\","","2025-10-03 5:28:20 AM","2025-10-03 9:28:20 AM","2025-10-03 5:50:28 AM","2025-10-03 9:50:28 AM","2025-10-03 5:50:28 AM","2025-10-03 9:50:28 AM","Hidden, System, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE\WOCQ5CKP","Microsoft.PowerShell.Core\FileSystem::C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE","WOCQ5CKP","C","Microsoft.PowerShell.Core\FileSystem","True","d--hs-","WOCQ5CKP","System.Collections.Generic.List`1[System.String]",,"WOCQ5CKP","C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE\WOCQ5CKP","IE","True","C:\","","2025-10-03 5:28:20 AM","2025-10-03 9:28:20 AM","2025-10-03 5:50:28 AM","2025-10-03 9:50:28 AM","2025-10-03 5:50:28 AM","2025-10-03 9:50:28 AM","Hidden, System, Directory, NotContentIndexed"
