"Name","Directory","SizeMB","CreationTime","LastWriteTime","LastAccessTime","Attributes"
"syslog.html","C:\Users\User\AppData\Local\Programs\Python\Python312\Doc\html\library","0.03","2025-04-08 3:57:12 PM","2025-04-08 3:57:12 PM","2025-08-30 9:58:10 PM","Archive"
"changelog.html","C:\Users\User\AppData\Local\Programs\Python\Python312\Doc\html\whatsnew","4.69","2025-04-08 3:57:12 PM","2025-04-08 3:57:12 PM","2025-08-30 9:58:10 PM","Archive"
"logging.handlers.html","C:\Users\User\AppData\Local\Programs\Python\Python312\Doc\html\library","0.15","2025-04-08 3:57:12 PM","2025-04-08 3:57:12 PM","2025-08-30 9:58:09 PM","Archive"
"logging.html","C:\Users\User\AppData\Local\Programs\Python\Python312\Doc\html\library","0.18","2025-04-08 3:57:12 PM","2025-04-08 3:57:12 PM","2025-08-30 9:58:09 PM","Archive"
"logging-cookbook.html","C:\Users\User\AppData\Local\Programs\Python\Python312\Doc\html\howto","0.50","2025-04-08 3:57:12 PM","2025-04-08 3:57:12 PM","2025-08-30 9:58:09 PM","Archive"
"sys.monitoring.html","C:\Users\User\AppData\Local\Programs\Python\Python312\Doc\html\library","0.06","2025-04-08 3:57:12 PM","2025-04-08 3:57:12 PM","2025-08-30 9:58:10 PM","Archive"
"changelog_search.js","C:\Users\User\AppData\Local\Programs\Python\Python312\Doc\html\_static","0.00","2025-04-08 3:57:14 PM","2025-04-08 3:57:14 PM","2025-08-30 9:58:09 PM","Archive"
"pwrdLogo75.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"pwrdLogo200.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"pwrdLogo150.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"pwrdLogo175.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"pwrdLogo.eps","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.03","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"logoMed.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"logoLarge.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.01","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"pwrdLogo100.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"logo100.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"logo64.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"logo.eps","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\images","0.03","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"dialog.tcl","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6","0.01","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"dialog2.tcl","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\demos","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"dialog1.tcl","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\demos","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"tcllogo.gif","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tk8.6\demos\images","0.00","2025-04-08 3:58:06 PM","2025-04-08 3:58:06 PM","2025-08-30 9:58:16 PM","Archive"
"DialogS.tcl","C:\Users\User\AppData\Local\Programs\Python\Python312\tcl\tix8.4.3","0.00","2025-04-08 3:58:16 PM","2025-04-08 3:58:16 PM","2025-08-30 9:58:16 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\charset-normalizer-3.4.2-pyhd8ed1ab_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\pycosat-0.6.6-py312h4389bb4_2\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\python-3.12.10-h3f84c4b_0_cpython\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\packaging-25.0-pyh29332c3_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\pluggy-1.5.0-pyhd8ed1ab_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\pycparser-2.22-pyh29332c3_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\platformdirs-4.3.8-pyhe01879c_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\pip-25.1.1-pyh8b19718_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\pysocks-1.7.1-pyh09c184e_7\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\fmt-11.1.4-h5f12afc_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\frozendict-2.4.6-py312h4389bb4_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\distro-1.9.0-pyhd8ed1ab_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\conda-package-streaming-0.11.0-pyhd8ed1ab_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\cpp-expected-1.1.0-hc790b64_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\idna-3.10-pyhd8ed1ab_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\jsonpatch-1.33-pyhd8ed1ab_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\hyperframe-6.1.0-pyhd8ed1ab_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
