"Keyword","Count","Percentage"
"Crown Attorney","184","47.18"
"Attorney General","78","20"
"Crown Counsel","14","3.59"
"Prosecutor","72","18.46"
"Ministry of Attorney","12","3.08"
"Crown Law","10","2.56"
"Criminal Division","20","5.13"
