"Name","Directory","Length","LastWriteTime","LastAccessTime","Attributes","Owner"
"Enhance Video Colors.man.igpi","C:\Users\User\IntelGraphicsProfiles","8436","2025-10-02 8:58:00 PM","2025-10-02 8:58:00 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"IntelGraphicsProfiles",,,"2025-10-02 8:58:00 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory","DESKTOP-RVD6TK8\User"
"Darken Video.man.igpi","C:\Users\User\IntelGraphicsProfiles","8436","2025-10-02 8:58:00 PM","2025-10-02 8:58:00 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"Brighten Video.man.igpi","C:\Users\User\IntelGraphicsProfiles","8436","2025-10-02 8:58:00 PM","2025-10-02 8:58:00 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"WPNPRMRY.tmp","C:\Users\User\AppData\Local\Microsoft\Windows\Notifications","0","2025-10-02 8:58:00 PM","2025-10-02 8:58:00 PM","Hidden, Archive","DESKTOP-RVD6TK8\User"
"ESE",,,"2025-09-29 8:25:45 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.MSPaint_8wekyb3d8bbwe\AC\INetCookies\ESE","0","2025-09-29 8:25:45 AM","2025-09-29 8:25:45 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCookies",,,"2025-09-29 8:25:45 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.MSPaint_8wekyb3d8bbwe\AC\INetCache","0","2025-09-29 8:25:45 AM","2025-09-29 8:25:45 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-09-29 8:25:45 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"settings.dat.LOG2","C:\Users\User\AppData\Local\Packages\Microsoft.MSPaint_8wekyb3d8bbwe\Settings","0","2025-09-29 8:25:43 AM","2025-09-29 8:25:43 AM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"settings.dat.LOG1","C:\Users\User\AppData\Local\Packages\Microsoft.MSPaint_8wekyb3d8bbwe\Settings","8192","2025-09-29 8:25:43 AM","2025-09-29 8:25:43 AM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"IconCache.db","C:\Users\User\AppData\Local","56066","2025-09-29 8:12:51 AM","2025-10-03 5:31:24 AM","Hidden, Archive","DESKTOP-RVD6TK8\User"
"slideshow.ini","C:\Users\User\AppData\Roaming\Microsoft\Windows\Themes","0","2025-09-29 5:23:13 AM","2025-09-29 5:23:13 AM","Hidden, Archive","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025092920250930","0","2025-09-29 12:59:15 AM","2025-09-29 12:59:15 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"MSHist012025092920250930",,,"2025-09-29 12:59:15 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"MSHist012025092220250929",,,"2025-09-29 12:59:15 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025092220250929","0","2025-09-29 12:59:15 AM","2025-09-29 12:59:15 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-09-29 12:41:32 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-09-29 12:41:32 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCookies",,,"2025-09-28 10:57:51 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetHistory",,,"2025-09-28 10:57:51 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
