"PSComputerName","ProcessName","Handles","VM","WS","Path","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","CommandLine","CreationClassName","CreationDate","CSCreationClassName","CSName","Description","ExecutablePath","ExecutionState","Handle","HandleCount","InstallDate","KernelModeTime","MaximumWorkingSetSize","MinimumWorkingSetSize","Name","OSCreationClassName","OSName","OtherOperationCount","OtherTransferCount","PageFaults","PageFileUsage","ParentProcessId","PeakPageFileUsage","PeakVirtualSize","PeakWorkingSetSize","Priority","PrivatePageCount","ProcessId","QuotaNonPagedPoolUsage","QuotaPagedPoolUsage","QuotaPeakNonPagedPoolUsage","QuotaPeakPagedPoolUsage","ReadOperationCount","ReadTransferCount","SessionId","Status","TerminationDate","ThreadCount","UserModeTime","VirtualSize","WindowsVersion","WorkingSetSize","WriteOperationCount","WriteTransferCount","Scope","Options","ClassPath","Properties","SystemProperties","Qualifiers","Site","Container"
"DESKTOP-RVD6TK8","svchost.exe","1539","2203518758912","50413568",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""876""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""876""","svchost.exe",,"Win32_Process","20251002205755.890369-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","svchost.exe",,,"876","1539",,"110000000",,,"svchost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","105787","6962352","1204743","29408","740","34532","2203523678208","59552","8","30113792","876","29","572","34","583","127","1827840","0",,,"24","152500000","2203518758912","10.0.19045","50413568","23","233472","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","fontdrvhost.exe","50","2203497603072","8908800",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""900""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""900""","fontdrvhost.exe",,"Win32_Process","20251002205755.902155-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","fontdrvhost.exe",,,"900","50",,"6093750",,,"fontdrvhost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","123","3066","3150","3448","696","3448","2203497603072","8764","8","3530752","900","9","242","9","242","0","0","1",,,"5","7343750","2203497603072","10.0.19045","8908800","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","fontdrvhost.exe","50","2203391561728","4636672",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""896""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""896""","fontdrvhost.exe",,"Win32_Process","20251002205755.902154-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","fontdrvhost.exe",,,"896","50",,"468750",,,"fontdrvhost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","33","820","1591","1716","588","1800","2203394117632","4628","8","1757184","896","7","46","8","46","0","0","0",,,"5","468750","2203391561728","10.0.19045","4636672","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","svchost.exe","1409","2203417907200","16384000",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""1008""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""1008""","svchost.exe",,"Win32_Process","20251002205756.044292-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","svchost.exe",,,"1008","1409",,"76093750",,,"svchost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","4342","301182","38648","8944","740","8980","2203426086912","16104","8","9158656","1008","19","182","25","194","16","65536","0",,,"11","131406250","2203417907200","10.0.19045","16384000","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","svchost.exe","326","2203402878976","9859072",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""396""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""396""","svchost.exe",,"Win32_Process","20251002205756.070556-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","svchost.exe",,,"396","326",,"4687500",,,"svchost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","121","620","4186","2880","740","2888","2203405500416","10672","8","2949120","396","12","123","13","125","0","0","0",,,"6","1875000","2203402878976","10.0.19045","9859072","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","WUDFHost.exe","364","2203434258432","11423744",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""800""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""800""","WUDFHost.exe",,"Win32_Process","20251002205756.255083-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","WUDFHost.exe",,,"800","364",,"1718750",,,"WUDFHost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","476","937854","4022","3636","740","3880","2203438538752","14168","8","3723264","800","16","153","22","156","3","4212","0",,,"14","781250","2203434258432","10.0.19045","11423744","8","32768","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","svchost.exe","250","2203401707520","10133504",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""772""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""772""","svchost.exe",,"Win32_Process","20251002205756.257005-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","svchost.exe",,,"772","250",,"1250000",,,"svchost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","308","14262","3378","2528","740","2820","2203407843328","10780","8","2588672","772","13","100","18","102","0","0","0",,,"4","2187500","2203401707520","10.0.19045","10133504","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","svchost.exe","290","2203404890112","11767808",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""72""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""72""","svchost.exe",,"Win32_Process","20251002205756.258381-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","svchost.exe",,,"72","290",,"781250",,,"svchost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","84","494","4795","2264","740","2432","2203406991360","12400","8","2318336","72","10","117","11","118","0","0","0",,,"4","1093750","2203404890112","10.0.19045","11767808","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","svchost.exe","337","2203399352320","7843840",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""1132""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""1132""","svchost.exe",,"Win32_Process","20251002205756.292106-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","svchost.exe",,,"1132","337",,"156250",,,"svchost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","103","3078","2896","2728","740","3188","2203407220736","9308","8","2793472","1132","12","85","14","93","0","0","0",,,"12","312500","2203399352320","10.0.19045","7843840","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
"DESKTOP-RVD6TK8","svchost.exe","152","2203400007680","6328320",,"2","Win32_Process","CIM_Process","CIM_ManagedSystemElement","Win32_Process.Handle=""1152""","45","System.String[]","DESKTOP-RVD6TK8","root\cimv2","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process.Handle=""1152""","svchost.exe",,"Win32_Process","20251002205756.300929-240","Win32_ComputerSystem","DESKTOP-RVD6TK8","svchost.exe",,,"1152","152",,"156250",,,"svchost.exe","Win32_OperatingSystem","Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition3","215","10160","2237","1812","740","1932","2203401580544","6936","8","1855488","1152","11","75","13","77","3","0","0",,,"8","156250","2203400007680","10.0.19045","6328320","0","0","System.Management.ManagementScope","System.Management.ObjectGetOptions","\\DESKTOP-RVD6TK8\root\cimv2:Win32_Process","System.Management.PropertyDataCollection","System.Management.PropertyDataCollection","System.Management.QualifierDataCollection",,
