"Name","Id","CPU","WorkingSet","Path","Company","Description"
"ollama","3020","0.421875","16850944","C:\Users\User\AppData\Local\Programs\Ollama\ollama.exe",,
"ollama app","3624","22.0625","31666176","C:\Users\User\AppData\Local\Programs\Ollama\ollama app.exe",,
